position,domain,industry,software_as_service,content_producer,user_content_platform,needs_login,charge_users,mainly_web,owner,for_profit,owner_country,bought
104,pinduoduo.com,Marketplace,0,0,1,1,0,1,PDD Holdings,1,Ireland,
105,aol.com,Computers Electronics and Technology - Other,0,0,0,0,0,1,Apollo,1,United States,
106,temu.com,Marketplace,0,0,1,1,0,1,PDD Holdings,1,Ireland,
107,zillow.com,Real Estate,1,1,1,0,,0,Zillow,1,United States,
108,line.me,Social Networks and Online Communities,1,0,1,1,0,1,SoftBank,1,Japan,1
109,disneyplus.com,TV Movies and Streaming,0,1,0,1,1,1,Walt Disney Company,1,United States,
110,google.co.jp,Search Engines,0,0,0,0,0,1,Alphabet,1,United States,
111,onlyfans.com,Adult,0,0,1,1,1,1,Fenix International Limited,1,United Kingdom,
112,office365.com,Programming and Developer Software,1,0,0,1,1,1,Microsoft,1,United States,0
113,telegram.org,Social Networks and Online Communities,1,0,1,1,0,1,Telegram,1,United Arab Emirates,
114,foxnews.com,News and Media,0,1,0,1,0,1,Murdoch family,1,United States,
115,tsyndicate.com,Marketing and Advertising,0,0,0,0,0,1,,,,
116,seznam.cz,Search Engines,0,0,0,0,0,1,Seznam,1,Czech Republic,
